Orthogroup	PFEIFFER_annot	SC_annot	SIM_annot
OG0000010	lcl|BK010830.1_prot_DAC79496.1_30, lcl|BK010831.1_prot_DAC79699.1_28, lcl|BK010831.1_prot_DAC79859.1_222	SC_03978, SC_04034, SC_04378, SC_04458, SC_04655	SC_00039, SC_00289
OG0000011	lcl|BK010830.1_prot_DAC79511.1_51, lcl|BK010830.1_prot_DAC79674.1_234, lcl|BK010831.1_prot_DAC79714.1_49, lcl|BK010831.1_prot_DAC80040.1_429	SC_04070, SC_04331, SC_04406, SC_04491, SC_05075	SC_00516
OG0000012	lcl|BK010830.1_prot_DAC79534.1_75, lcl|BK010830.1_prot_DAC79651.1_210, lcl|BK010831.1_prot_DAC79735.1_71, lcl|BK010831.1_prot_DAC80019.1_407	SC_04108, SC_04440, SC_04526, SC_04528	SC_00489, SC_00490
OG0000013	lcl|BK010829.1_prot_DAC77341.1_9, lcl|BK010829.1_prot_DAC77351.1_22	SC_00553, SC_00567, SC_00568	SC_01148, SC_01149, SC_01164, SC_01165
OG0000014	lcl|BK010830.1_prot_DAC79477.1_6, lcl|BK010830.1_prot_DAC79569.1_115, lcl|BK010831.1_prot_DAC79681.1_5, lcl|BK010831.1_prot_DAC79767.1_108	SC_04007, SC_04160	SC_00004, SC_00551, SC_00552
OG0000015	lcl|BK010830.1_prot_DAC79517.1_57, lcl|BK010830.1_prot_DAC79668.1_228, lcl|BK010831.1_prot_DAC79720.1_55, lcl|BK010831.1_prot_DAC80034.1_423	SC_04079, SC_04323, SC_04413, SC_04500	SC_00510
OG0000016	lcl|BK010830.1_prot_DAC79518.1_58, lcl|BK010830.1_prot_DAC79667.1_227, lcl|BK010831.1_prot_DAC79721.1_56, lcl|BK010831.1_prot_DAC80033.1_422	SC_04080, SC_04081, SC_04414, SC_04501	SC_00509
OG0000017	lcl|BK010830.1_prot_DAC79520.1_60, lcl|BK010830.1_prot_DAC79665.1_225, lcl|BK010831.1_prot_DAC79723.1_58, lcl|BK010831.1_prot_DAC80031.1_420	SC_04084, SC_04319, SC_04417, SC_04504	SC_00507
OG0000018	lcl|BK010830.1_prot_DAC79529.1_69, lcl|BK010830.1_prot_DAC79656.1_216, lcl|BK010831.1_prot_DAC79730.1_65, lcl|BK010831.1_prot_DAC80024.1_413	SC_04098, SC_04307, SC_04430, SC_04515	SC_00498
OG0000019	lcl|BK010830.1_prot_DAC79533.1_73, lcl|BK010830.1_prot_DAC79652.1_212, lcl|BK010831.1_prot_DAC79734.1_69, lcl|BK010831.1_prot_DAC80020.1_409	SC_04104, SC_04299, SC_04436, SC_04521	SC_00493
OG0000020	lcl|BK010830.1_prot_DAC79583.1_130, lcl|BK010830.1_prot_DAC79594.1_143, lcl|BK010831.1_prot_DAC79780.1_122	SC_04185, SC_04215, SC_04216	SC_00473, SC_00569, SC_00570
OG0000021		SC_04114, SC_04287, SC_04793	SC_00051, SC_00099, SC_00153, SC_00172, SC_00452, SC_00541
OG0000022	lcl|BK010829.1_prot_DAC78498.1_1213, lcl|BK010831.1_prot_DAC79828.1_189	SC_02590, SC_02593, SC_04607	SC_00334, SC_02842, SC_02843
OG0000023	lcl|BK010830.1_prot_DAC79489.1_23, lcl|BK010831.1_prot_DAC79692.1_21, lcl|BK010831.1_prot_DAC79852.1_215	SC_03987, SC_04026, SC_04368	SC_00028, SC_00298
OG0000024	lcl|BK010830.1_prot_DAC79494.1_28, lcl|BK010831.1_prot_DAC79697.1_26, lcl|BK010831.1_prot_DAC79857.1_220	SC_04452, SC_04654	SC_00034, SC_00292, SC_00293
OG0000025	lcl|BK010830.1_prot_242, lcl|BK010830.1_prot_43, lcl|BK010831.1_prot_41, lcl|BK010831.1_prot_437	SC_04340, SC_04394, SC_04480	SC_00526
OG0000026	lcl|BK010830.1_prot_DAC79507.1_44, lcl|BK010830.1_prot_DAC79678.1_241, lcl|BK010831.1_prot_DAC79710.1_42, lcl|BK010831.1_prot_DAC80044.1_436	SC_03956, SC_04062, SC_04398	SC_00523
OG0000027	lcl|BK010830.1_prot_DAC79509.1_49, lcl|BK010830.1_prot_DAC79676.1_236, lcl|BK010831.1_prot_DAC79712.1_47, lcl|BK010831.1_prot_DAC80042.1_431	SC_04068, SC_04333, SC_04404	SC_00518
OG0000028	lcl|BK010830.1_prot_DAC79510.1_50, lcl|BK010830.1_prot_DAC79675.1_235, lcl|BK010831.1_prot_DAC79713.1_48, lcl|BK010831.1_prot_DAC80041.1_430	SC_04069, SC_04332, SC_04490	SC_00517
OG0000029	lcl|BK010830.1_prot_DAC79522.1_62, lcl|BK010830.1_prot_DAC79663.1_223, lcl|BK010831.1_prot_DAC79725.1_60, lcl|BK010831.1_prot_DAC80029.1_418	SC_04088, SC_04316, SC_04507	SC_00504
OG0000030	lcl|BK010830.1_prot_DAC79530.1_70, lcl|BK010830.1_prot_DAC79655.1_215, lcl|BK010831.1_prot_DAC79731.1_66, lcl|BK010831.1_prot_DAC80023.1_412	SC_04099, SC_04305, SC_04432	SC_00496
OG0000031	lcl|BK010830.1_prot_DAC79541.1_82, lcl|BK010830.1_prot_DAC79644.1_203, lcl|BK010831.1_prot_DAC79740.1_76, lcl|BK010831.1_prot_DAC80014.1_402	SC_04117, SC_04283, SC_04284	SC_00484
OG0000032	lcl|BK010831.1_prot_DAC79789.1_133	SC_05064, SC_05065	SC_00414, SC_00415, SC_00416, SC_00417, SC_00418
OG0000033	lcl|BK010831.1_prot_DAC79805.1_159, lcl|BK010831.1_prot_DAC79954.1_338, lcl|BK010831.1_prot_DAC79955.1_339	SC_03899, SC_04840, SC_04908, SC_04985	SC_00376
OG0000034		SC_00687, SC_03993, SC_04152, SC_04360, SC_05067	SC_00020, SC_00545, SC_01039
OG0000035		SC_00996, SC_04935, SC_05014	SC_00024, SC_00404, SC_00540, SC_01110, SC_01929
OG0000036		SC_01935, SC_01946, SC_02844, SC_03923, SC_04137, SC_04861, SC_04930, SC_05010	
OG0000037	lcl|BK010829.1_prot_DAC77369.1_43, lcl|BK010831.1_prot_DAC79844.1_206	SC_00588, SC_04642, SC_04643	SC_00306, SC_01132
OG0000038	lcl|BK010829.1_prot_DAC77486.1_175, lcl|BK010829.1_prot_DAC79288.1_2013	SC_00193, SC_00809	SC_00921, SC_01497, SC_01500
OG0000039	lcl|BK010829.1_prot_DAC77705.1_401, lcl|BK010830.1_prot_DAC79480.1_9, lcl|BK010831.1_prot_DAC79684.1_8	SC_01182, SC_04003, SC_04347	SC_00009
OG0000040	lcl|BK010829.1_prot_DAC77820.1_520, lcl|BK010829.1_prot_DAC77889.1_593	SC_01366, SC_01367, SC_01490	SC_03847, SC_03956
OG0000041	lcl|BK010829.1_prot_DAC77828.1_529	SC_01380, SC_01381, SC_01382, SC_01384	SC_03944, SC_03945
OG0000042	lcl|BK010829.1_prot_DAC77928.1_632	SC_01566, SC_01567, SC_01568	SC_03770, SC_03771, SC_03772
OG0000043	lcl|BK010829.1_prot_DAC77961.1_666	SC_01626, SC_01627, SC_01628, SC_02663, SC_02975	SC_03715
OG0000044	lcl|BK010829.1_prot_DAC78485.1_1200, lcl|BK010829.1_prot_DAC78658.1_1378	SC_02570, SC_02876, SC_02878	SC_02567, SC_02865
OG0000045	lcl|BK010829.1_prot_DAC78873.1_1595	SC_03241, SC_03242, SC_03243, SC_03244, SC_03245	SC_02227
OG0000046	lcl|BK010830.1_prot_DAC79495.1_29, lcl|BK010831.1_prot_DAC79698.1_27	SC_03983, SC_04030, SC_04374, SC_04454	SC_00036
OG0000047	lcl|BK010830.1_prot_DAC79501.1_35, lcl|BK010831.1_prot_DAC79704.1_33	SC_03969, SC_04044, SC_04385, SC_04467	SC_00046
OG0000048	lcl|BK010830.1_prot_240, lcl|BK010830.1_prot_45, lcl|BK010831.1_prot_43, lcl|BK010831.1_prot_435	SC_04339, SC_04399	SC_00522
OG0000049	lcl|BK010830.1_prot_237, lcl|BK010830.1_prot_48, lcl|BK010831.1_prot_432, lcl|BK010831.1_prot_46	SC_05073	SC_00403, SC_00519
OG0000050	lcl|BK010830.1_prot_DAC79527.1_67, lcl|BK010830.1_prot_DAC79658.1_218, lcl|BK010831.1_prot_DAC79729.1_64, lcl|BK010831.1_prot_DAC80025.1_414	SC_04309, SC_04512	SC_00500
OG0000051	lcl|BK010830.1_prot_DAC79531.1_71, lcl|BK010830.1_prot_DAC79654.1_214, lcl|BK010831.1_prot_DAC79732.1_67, lcl|BK010831.1_prot_DAC80022.1_411	SC_04302, SC_04434	SC_00495
OG0000052	lcl|BK010830.1_prot_DAC79540.1_81, lcl|BK010830.1_prot_DAC79645.1_204, lcl|BK010831.1_prot_DAC79739.1_75, lcl|BK010831.1_prot_DAC80015.1_403	SC_04115, SC_04286	SC_00485
OG0000053	lcl|BK010830.1_prot_DAC79542.1_83, lcl|BK010830.1_prot_DAC79643.1_202, lcl|BK010831.1_prot_DAC79741.1_77, lcl|BK010831.1_prot_DAC80013.1_401	SC_04118, SC_04282	SC_00483
OG0000054	lcl|BK010830.1_prot_DAC79563.1_109, lcl|BK010831.1_prot_DAC79762.1_103, lcl|BK010831.1_prot_DAC79918.1_283	SC_04153, SC_04155	SC_00546, SC_00547
OG0000055	lcl|BK010830.1_prot_133, lcl|BK010831.1_prot_126	SC_04193, SC_04195	SC_00577, SC_00578, SC_00579
OG0000056	lcl|BK010831.1_prot_DAC79804.1_157, lcl|BK010831.1_prot_DAC79824.1_181, lcl|BK010831.1_prot_DAC79952.1_334	SC_04593, SC_04978	SC_00130, SC_00377
OG0000057	lcl|BK010831.1_prot_DAC79809.1_164	SC_04569, SC_04570, SC_04571	SC_00366, SC_00367, SC_00369
OG0000058	lcl|BK010831.1_prot_DAC79960.1_344	SC_03906, SC_04846, SC_04913, SC_04992, SC_05056	SC_00120
OG0000059	lcl|BK010831.1_prot_DAC79970.1_355	SC_03921, SC_04860, SC_04928, SC_05008, SC_05048	SC_00102
OG0000060	lcl|BK010831.1_prot_368	SC_03939, SC_04875, SC_04946, SC_05022	SC_00088, SC_00090
OG0000061		SC_03992, SC_04019, SC_04342, SC_04862, SC_04932, SC_05011	SC_00021
OG0000062		SC_04787	SC_00177, SC_00421, SC_00544, SC_00572, SC_00581, SC_01034
OG0000063	lcl|BK010829.1_prot_DAC77371.1_45, lcl|BK010829.1_prot_DAC78167.1_876	SC_00593, SC_02013	SC_01127, SC_03379
OG0000064	lcl|BK010829.1_prot_DAC77405.1_88	SC_00655, SC_00656	SC_01070, SC_01071, SC_01073
OG0000065	lcl|BK010829.1_prot_DAC77414.1_97, lcl|BK010829.1_prot_DAC78778.1_1499	SC_00669, SC_03083	SC_01057, SC_02381
OG0000066	lcl|BK010829.1_prot_DAC77510.1_204	SC_00844, SC_00846, SC_00847	SC_00880, SC_00882
OG0000067	lcl|BK010829.1_prot_DAC77648.1_344	SC_01077, SC_01078, SC_01079, SC_01080	SC_00657
OG0000068	lcl|BK010829.1_prot_DAC77658.1_354	SC_01093, SC_01094, SC_01095	SC_00637, SC_00638
OG0000069	lcl|BK010829.1_prot_DAC77713.1_410, lcl|BK010829.1_prot_DAC77855.1_557	SC_01190, SC_01435	SC_03897, SC_04126
OG0000070	lcl|BK010829.1_prot_DAC77718.1_416, lcl|BK010829.1_prot_DAC77719.1_417	SC_01201, SC_01202	SC_04112, SC_04113
OG0000071	lcl|BK010829.1_prot_DAC77754.1_452, lcl|BK010829.1_prot_DAC77755.1_453, lcl|BK010829.1_prot_DAC79142.1_1866, lcl|BK010830.1_prot_DAC79602.1_151	SC_01259	SC_00463
OG0000072	lcl|BK010829.1_prot_DAC77806.1_504	SC_01344, SC_01345, SC_01346	SC_03974, SC_03975
OG0000073	lcl|BK010829.1_prot_DAC77839.1_540	SC_01404, SC_01405, SC_01406	SC_03925, SC_03926
OG0000074	lcl|BK010829.1_prot_DAC77926.1_630	SC_01555, SC_01557	SC_03777, SC_03778, SC_03779
OG0000075	lcl|BK010829.1_prot_DAC77964.1_669, lcl|BK010829.1_prot_DAC78263.1_972	SC_01634, SC_02186	SC_03229, SC_03708
OG0000076	lcl|BK010829.1_prot_DAC78075.1_781	SC_01859, SC_01860, SC_01861, SC_01862	SC_03518
OG0000077	lcl|BK010829.1_prot_DAC78081.1_787	SC_01873, SC_01874, SC_01875	SC_03508, SC_03509
OG0000078	lcl|BK010829.1_prot_DAC78180.1_889, lcl|BK010831.1_prot_DAC79934.1_308	SC_02039, SC_04804	SC_00162, SC_03355
OG0000079	lcl|BK010829.1_prot_DAC78280.1_989, lcl|BK010829.1_prot_DAC78388.1_1102	SC_02212, SC_02404	SC_03025, SC_03207
OG0000080	lcl|BK010829.1_prot_DAC78319.1_1030	SC_02285, SC_02287	SC_00943, SC_03134, SC_03135
OG0000081	lcl|BK010829.1_prot_DAC78396.1_1110, lcl|BK010829.1_prot_DAC78397.1_1111	SC_02422, SC_02423	SC_03006, SC_03007
OG0000082	lcl|BK010829.1_prot_DAC78528.1_1243	SC_02645, SC_02648, SC_02649	SC_02791, SC_02793
OG0000083	lcl|BK010829.1_prot_DAC78555.1_1270	SC_02700, SC_02701, SC_02704, SC_02705	SC_02737
OG0000084	lcl|BK010829.1_prot_DAC78594.1_1313	SC_02770, SC_02771	SC_02661, SC_02662, SC_02664
OG0000085	lcl|BK010829.1_prot_DAC78702.1_1423	SC_02953, SC_02954	SC_02498, SC_02499, SC_02500
OG0000086	lcl|BK010829.1_prot_DAC78713.1_1434, lcl|BK010829.1_prot_DAC79108.1_1832	SC_02970, SC_03656	SC_01829, SC_02480
OG0000087	lcl|BK010829.1_prot_DAC78723.1_1444, lcl|BK010829.1_prot_DAC78724.1_1445	SC_02992, SC_02993	SC_02463, SC_02465
OG0000088	lcl|BK010829.1_prot_DAC79039.1_1761	SC_03518, SC_03519, SC_03520	SC_01965, SC_01966
OG0000089	lcl|BK010829.1_prot_DAC79158.1_1882	SC_03733, SC_03734, SC_03735	SC_01742, SC_01743
OG0000090	lcl|BK010829.1_prot_DAC79167.1_1892	SC_03747, SC_03748	SC_01725, SC_01726, SC_01727
OG0000091	lcl|BK010829.1_prot_DAC79208.1_1933	SC_00037, SC_00038, SC_03819, SC_03820	SC_01655
OG0000092	lcl|BK010829.1_prot_DAC79215.1_1940	SC_00062, SC_00063, SC_03844, SC_03845	SC_01634
OG0000093	lcl|BK010829.1_prot_DAC79220.1_1945	SC_00077, SC_00078, SC_03858, SC_03859	SC_01623
OG0000094	lcl|BK010829.1_prot_DAC79267.1_1992	SC_00160, SC_00161, SC_00162	SC_01536, SC_01537
OG0000095	lcl|BK010829.1_prot_DAC79439.1_2164	SC_00448, SC_00449, SC_00450	SC_01252, SC_01254
OG0000096	lcl|BK010830.1_prot_DAC79479.1_8, lcl|BK010831.1_prot_DAC79683.1_7	SC_04004, SC_04346	SC_00007, SC_00008
OG0000097	lcl|BK010830.1_prot_DAC79482.1_12, lcl|BK010831.1_prot_DAC79686.1_11	SC_03999, SC_04000, SC_04011	SC_00012
OG0000098	lcl|BK010830.1_prot_DAC79490.1_24, lcl|BK010831.1_prot_DAC79693.1_22, lcl|BK010831.1_prot_DAC79853.1_216	SC_04369	SC_00029, SC_00297
OG0000099	lcl|BK010830.1_prot_DAC79497.1_31, lcl|BK010831.1_prot_DAC79700.1_29, lcl|BK010831.1_prot_DAC79860.1_223	SC_03976	SC_00041, SC_00288
OG0000100	lcl|BK010830.1_prot_DAC79502.1_36, lcl|BK010831.1_prot_DAC79705.1_34	SC_04386, SC_04468, SC_04469	SC_00047
OG0000101	lcl|BK010830.1_prot_DAC79503.1_38, lcl|BK010831.1_prot_DAC79706.1_36, lcl|BK010831.1_prot_DAC80006.1_394, lcl|BK010831.1_prot_DAC80007.1_395	SC_04472	SC_00069
OG0000102	lcl|BK010830.1_prot_239, lcl|BK010830.1_prot_46, lcl|BK010831.1_prot_434, lcl|BK010831.1_prot_44	SC_04400	SC_00521
OG0000103	lcl|BK010830.1_prot_DAC79515.1_55, lcl|BK010830.1_prot_DAC79670.1_230, lcl|BK010831.1_prot_DAC79718.1_53, lcl|BK010831.1_prot_DAC80036.1_425	SC_05079	SC_00512
OG0000104	lcl|BK010830.1_prot_DAC79519.1_59, lcl|BK010830.1_prot_DAC79666.1_226, lcl|BK010831.1_prot_DAC79722.1_57, lcl|BK010831.1_prot_DAC80032.1_421	SC_04083	SC_00508
OG0000105	lcl|BK010830.1_prot_DAC79521.1_61, lcl|BK010830.1_prot_DAC79664.1_224, lcl|BK010831.1_prot_DAC79724.1_59, lcl|BK010831.1_prot_DAC80030.1_419	SC_05086	SC_00506
OG0000106	lcl|BK010830.1_prot_DAC79524.1_64, lcl|BK010830.1_prot_DAC79662.1_222, lcl|BK010831.1_prot_DAC79726.1_61, lcl|BK010831.1_prot_DAC80028.1_417	SC_05090	SC_00503
OG0000107	lcl|BK010830.1_prot_DAC79525.1_65, lcl|BK010830.1_prot_DAC79660.1_220, lcl|BK010831.1_prot_DAC79727.1_62, lcl|BK010831.1_prot_DAC80027.1_416	SC_04510	SC_00502
OG0000108	lcl|BK010830.1_prot_DAC79526.1_66, lcl|BK010830.1_prot_DAC79659.1_219, lcl|BK010831.1_prot_DAC79728.1_63, lcl|BK010831.1_prot_DAC80026.1_415	SC_05093	SC_00501
OG0000109	lcl|BK010830.1_prot_DAC79532.1_72, lcl|BK010830.1_prot_DAC79653.1_213, lcl|BK010831.1_prot_DAC79733.1_68, lcl|BK010831.1_prot_DAC80021.1_410	SC_04435	SC_00494
OG0000110	lcl|BK010830.1_prot_211, lcl|BK010830.1_prot_74, lcl|BK010831.1_prot_408, lcl|BK010831.1_prot_70	SC_04437	SC_00492
OG0000111	lcl|BK010830.1_prot_DAC79537.1_78, lcl|BK010830.1_prot_DAC79648.1_207	SC_04110, SC_04292, SC_04441, SC_04529	
OG0000112	lcl|BK010830.1_prot_DAC79543.1_84, lcl|BK010830.1_prot_DAC79642.1_201, lcl|BK010831.1_prot_DAC79742.1_78, lcl|BK010831.1_prot_DAC80012.1_400	SC_04119	SC_00482
OG0000113	lcl|BK010830.1_prot_DAC79545.1_86, lcl|BK010830.1_prot_DAC79640.1_199, lcl|BK010831.1_prot_DAC79744.1_80	SC_04122, SC_04278	SC_00054
OG0000114	lcl|BK010830.1_prot_DAC79546.1_87, lcl|BK010830.1_prot_DAC79639.1_198, lcl|BK010831.1_prot_DAC79745.1_81	SC_04125, SC_04275	SC_00056
OG0000115	lcl|BK010830.1_prot_DAC79547.1_88, lcl|BK010830.1_prot_DAC79638.1_197, lcl|BK010831.1_prot_DAC79746.1_82	SC_04127, SC_04273	SC_00057
OG0000116	lcl|BK010830.1_prot_DAC79548.1_89, lcl|BK010830.1_prot_DAC79637.1_196, lcl|BK010831.1_prot_DAC79747.1_83	SC_04129, SC_04271	SC_00059
OG0000117	lcl|BK010830.1_prot_191, lcl|BK010830.1_prot_193, lcl|BK010830.1_prot_DAC79551.1_92, lcl|BK010831.1_prot_DAC79749.1_85	SC_04541	SC_00062
OG0000118	lcl|BK010830.1_prot_DAC79581.1_128, lcl|BK010831.1_prot_DAC79778.1_120	SC_04180, SC_04182	SC_00564, SC_00566
OG0000119	lcl|BK010830.1_prot_DAC79582.1_129, lcl|BK010831.1_prot_146, lcl|BK010831.1_prot_DAC79779.1_121	SC_04183, SC_04548	SC_00567
OG0000120	lcl|BK010830.1_prot_135, lcl|BK010831.1_prot_128	SC_04199, SC_04200	SC_00582, SC_00583
OG0000121	lcl|BK010831.1_prot_DAC79865.1_228	SC_04666, SC_04667	SC_00279, SC_00281, SC_01720
OG0000122	lcl|BK010831.1_prot_DAC79948.1_330	SC_03886, SC_04829, SC_04966, SC_04967	SC_00137
OG0000123	lcl|BK010831.1_prot_DAC79957.1_341	SC_03900, SC_04842, SC_04909, SC_04988	SC_00123
OG0000124	lcl|BK010831.1_prot_DAC79964.1_349	SC_03916, SC_04853, SC_04920, SC_05000	SC_00110
OG0000125	lcl|BK010831.1_prot_DAC79979.1_365	SC_03934, SC_04873, SC_04942, SC_05019	SC_00093
OG0000126		SC_01967	SC_03415, SC_03482, SC_03484, SC_03486, SC_03487
OG0000127		SC_03894, SC_04561, SC_04834, SC_04902, SC_04976	SC_00378
OG0000128		SC_03910, SC_03911, SC_04849, SC_04916, SC_04994	SC_00115
OG0000129		SC_03912, SC_03913, SC_04850, SC_04995, SC_04996	SC_01535
OG0000130		SC_03963, SC_04022, SC_04053, SC_04390, SC_04476, SC_04864	
OG0000131		SC_03965, SC_04050, SC_04387, SC_04470, SC_04471	SC_00048
OG0000132	lcl|BK010829.1_prot_14	SC_00559, SC_00560	SC_01159, SC_01160
OG0000133	lcl|BK010829.1_prot_DAC77368.1_42, lcl|BK010831.1_prot_208	SC_00587	SC_00304, SC_01133
OG0000134	lcl|BK010829.1_prot_DAC77370.1_44	SC_00590, SC_00592	SC_01129, SC_01130
OG0000135	lcl|BK010829.1_prot_DAC77372.1_46, lcl|BK010829.1_prot_DAC77389.1_65	SC_00624	SC_01103, SC_01126
OG0000136	lcl|BK010829.1_prot_69, lcl|BK010829.1_prot_72, lcl|BK010829.1_prot_75	SC_00630	SC_01095
OG0000137	lcl|BK010829.1_prot_DAC77393.1_71, lcl|BK010831.1_prot_294	SC_00632, SC_04786	SC_01093
OG0000138	lcl|BK010829.1_prot_DAC77427.1_113	SC_00694, SC_00695	SC_01031, SC_01032
OG0000139	lcl|BK010829.1_prot_DAC77434.1_120	SC_00704, SC_00706	SC_01020, SC_01022
OG0000140	lcl|BK010829.1_prot_DAC77453.1_141	SC_00738, SC_00739	SC_00997, SC_00998
OG0000141	lcl|BK010829.1_prot_DAC77454.1_143	SC_00741, SC_00744	SC_00994, SC_00995
OG0000142	lcl|BK010829.1_prot_DAC77458.1_147	SC_00750, SC_00751	SC_00988, SC_00989
OG0000143	lcl|BK010829.1_prot_DAC77462.1_151	SC_00758, SC_00759	SC_00979, SC_00980
OG0000144	lcl|BK010829.1_prot_DAC77477.1_166, lcl|BK010829.1_prot_DAC78351.1_1065	SC_02342, SC_02343	SC_03084
OG0000145	lcl|BK010829.1_prot_DAC77480.1_169	SC_00799, SC_00800	SC_00930, SC_00932
OG0000146	lcl|BK010829.1_prot_DAC77502.1_194	SC_00832, SC_00833	SC_00893, SC_00894
OG0000147	lcl|BK010829.1_prot_DAC77511.1_205, lcl|BK010829.1_prot_DAC77512.1_206	SC_00849	SC_00877, SC_00878
OG0000148	lcl|BK010829.1_prot_DAC77542.1_236, lcl|BK010829.1_prot_DAC77543.1_237	SC_00892, SC_00893	SC_00830
OG0000149	lcl|BK010829.1_prot_DAC77577.1_271	SC_00942, SC_00943	SC_00776, SC_00777
OG0000150	lcl|BK010829.1_prot_DAC77585.1_279	SC_00954, SC_00955	SC_00763, SC_00764
